id,lesson_id,icon,word,romaji,hiragana,sound_check,en,vi,zh,fr,de,hi,ind,it,ko,ms,pt,ru,es,th,tl,ar,pl,hr,nl,el,hu,sv,cs,ro,bg,da,tr,fi,sl,fa,bn,uk,am,km,si,zu,sw,lo,no
1,1,Assets/Resources/Images/1.png,首,kubi,くび,null,neck,cổ,脖子,cou,hals,गरदन,leher,collo,목,leher,pescoço,шея,el cuello,คอ,leeg,العنق,szyja,vrat,nek,λαιμός,nyak,nacke,krk,gât,врат,hals,boyun,niska,vratu,گردن,ঘাড়,шиї,አንገት,ក,බෙල්ල,intamo,shingo,ຄໍ,nakke
2,1,Assets/Resources/Images/2.png,胸,mune,むね,null,chest,ngực,胸,poitrine,brust,छाती,dada,il petto,가슴,dada,peito,грудь,pecho ( hombre),หน้าอก,dibdib,صدر,skrzynia,grudi,borst,στήθος,mellkas,bröst,hruď,cufăr,гръден кош,bryst,göğüs,rinta,prsih,قفسه سینه,বুক,грудей,ደረሰ,ទ្រូង,පපුව,isifuba,kifua,ຫນ້າເອິກ,bryst
3,1,Assets/Resources/Images/3.png,腹,hara,はら,null,abdomen,bụng,肚子,abdomen,abdomen,पेट,perut,addome,복부,abdomen,abdômen,живот,el abdomen,ท้อง,tiyan,بطن,brzuch,trbuh,buik,κοιλιά,has,buk,břicho,abdomen,корем,mave,karın,vatsa,trebuh,شکم,উদর,живіт,ሆዱ,ពោះ,උදරය,isisu,tumbo,ທ້ອງ,mage
4,1,Assets/Resources/Images/4.png,腰,koshi,こし,null,hip,hông,胯,hanche,hüfte,कमर,panggul,anca,잘 알고 있기,pinggang,quadril,тазобедренный,la cadera,สะโพก,hip,ورك او نتوء,cześć p,kuk,heup,ισχίο,csípő,höft,kyčle,şold,хип,hofte,kalça,lonkka,kolk,لگن,নিতম্ব,стегно,ሪንግ,ត្រគាក,උකුල,i-hip,hip,ສະໂພກ,hofte
5,1,Assets/Resources/Images/5.png,脛,sune,すね,null,shin,cẳng chân,外小腿,tibia,schienbein,पिंडली,shin,stinco,정강이,shin,canela,голень,la espinilla,หน้าแข้ง,shin,قصبة,goleń,cjevanica,scheenbeen,κνήμη,lábszár,skenben,holeň,fluierul piciorului,пищял,skinneben,incik,sääri,golen,شین,ঠেং,гомілки,shin,shin,දිලිසෙනවා,shin,shin,shin,shin
6,1,Assets/Resources/Images/6.png,男性,dansei,だんせい,null,male,đàn ông,男子,mâle,männlich,पुरुष,pria,maschio,남성,lelaki,masculino,мужчина,masculino,ชาย,lalaki,الذكر,męski,muški,mannetje,αρσενικός,férfi,manlig,mužský,masculin,мъжки,han-,erkek,uros,moški,نر,পুরুষ,чоловіки,ወንድ,បុរស,පිරිමි,owesilisa,kiume,ຜູ້​ຊາຍ,mann
7,1,Assets/Resources/Images/7.png,頭,atama,あたま,null,head,đầu,头,tête,kopf,सिर,kepala,capo,머리,kepala,cabeça,голова,cabeza,หัว,ulo,رئيس,głowa,glava,hoofd,κεφάλι,fej,huvud,hlava,cap,глава,hoved,kafa,pää,glavo,سر,মাথা,керівник,ራስ,ក្បាល,හිස,ikhanda,kichwa,ຫົວຫນ້າ,hode
10,1,Assets/Resources/Images/10.png,ウエスト,uesuto,,null,waist,eo,腰部,taille,taille,कमर,pinggang,vita,허리,pinggang,cintura,талия,la cintura,เอว,baywang,وسط,talia,struk,taille,μέση,derék,midja,pás,talie,талия,talje,bel,vyötärö,pas,دور کمر,কোমর,талії,ወገብ,ចង្កេះ,ඉණ,isikhumba,kiuno,waist,midje
11,1,Assets/Resources/Images/11.png,臍,heso,へそ,null,navel,rốn,肚脐,nombril,nabel,नाभि,pusar,ombelico,배꼽,pusar,umbigo,пупок,el ombligo,สะดือ,pusod,سرة البطن,pępek,pupak,navel,ομφαλός,köldök,navel,pupek,buric,пъп,navle,göbek,napa,popka,ناف,নাভি,пупка,እምብርት,ផ្ចិត,පිහියෙන්,inkaba,kitovu,navel,navle
12,1,Assets/Resources/Images/12.png,前腕,zenwan,ぜんわん,null,forearm,cẳng tay,前臂,avant bras,unterarm,बांह की कलाई,lengan bawah,avambraccio,전완,lengan,antebraço,предплечье,el antebrazo,ปลายแขน,bisig,ساعد,przedramię,podlaktica,onderarm,πήχης,alsókar,underarm,předloktí,antebraț,ръка,underarm,kolun ön kısmı,kyynärvarsi,podlakti,ساعد,হস্ত,передпліччя,ክንድ,កំភួនដៃ,පල්ලිය,phambili,upangaji,forearm,underarm
