id,topic_id,title,order,en,vi,zh,fr,de,hi,ind,it,ko,ms,pt,ru,es,th,tl,ar,pl,hr,nl,el,hu,sv,cs,ro,bg,da,tr,fi,sl,fa,bn,uk,am,km,si,zu,sw,lo,no
1,1,身体,8,Body,Thân Thể,身体,Corps,Karosserie,तन,Tubuh,Corpo,신체,Badan,Corpo,тело,Cuerpo,ร่างกาย,Katawan,الجسم,Ciało,Tijelo,Lichaam,Σώμα,Test,Kropp,Tělo,Corp,тяло,Legeme,Vücut,Ruumis,Telo,بدن,শরীর,Тіло,አካል,រាងកាយ,සිරුර,Umzimba,Mwili,ຮ່າງກາຍ,Kropp
2,1,顔,5,Face,Khuôn Mặt,脸,Visage,Gesicht,चेहरा,Menghadapi,Viso,얼굴,Muka,Face,Лицо,La Cara,ใบหน้า,Mukha,وجه,Twarz,Lice,Gezicht,Πρόσωπο,Arc,Ansikte,Tvář,Față,лице,Ansigt,Yüz,Kasvot,Obraz,صورت,মুখ,Обличчя,ፊት,មុខ,මුහුණ,Ubuso,Uso,ໃບຫນ້າ,Ansikt
3,1,手,6,Hand,Tay,手,Main,Hand,हाथ,Tangan,Mano,손,Tangan,Mão,Рука,La Mano,มือ,Kamay,يد,Dłoń,Ruka,Hand,Χέρι,Kéz,Hand,Ruka,Mână,ръка,Hånd,El,Käsi,Roka,دست,হাত,Рука,በእጅ,ដៃ,අත,Isandla,Mkono,ມື,Hånd
4,1,足,7,Foot,Chân,脚,Pied,Fuß,पैर,Kaki,Piede,발,Kaki,Pé,Ступня,El Pie,เท้า,Paa,قدم,Stopa,Noga,Voet,Πόδι,Láb,Fot,Noha,Picior,Крак,Fod,Ayak,Jalka,Noga,پا,পা,Нога,እግር,ជើង,පාදය,Izinyawo,Mguu,ຕີນ,Fot
5,1,筋肉,11,Muscles,Cơ,肌肉,Muscles,Muskeln,मांसपेशियों,Otot,Muscoli,근육,Otot,Músculos,Мышцы,Músculos,กล้ามเนื้อ,Mga Kalamnan,العضلات,Mięśnie,Mišići,Spieren,Μύες,Az Izmok,Muskler,Svaly,Muşchii,Мускули,Muskler,Kaslar,Lihakset,Mišice,عضلات,পেশী,М'язи,ጡንቻዎች,សាច់ដុំ,මාංශපේශී,Imisipha,Misuli,ກ້າມເນື້ອ,Muskler
6,1,骨格,10,Skeleton,Bộ Xương,骨骼,Squelette,Skelett,कंकाल,Kerangka,Scheletro,해골,Rangka,Esqueleto,остов,Esqueleto,โครงกระดูก,Kalansay,هيكل عظمي,Szkielet,Kostur,Skelet,Σκελετός,Csontváz,Skelett,Kostra,Schelet,скелет,Skelet,Iskelet,Luuranko,Okostje,اسکلت,কঙ্কাল,Скелет,አጽም,គ្រោងឆ្អឹង,ඇටසැකිල්ල,Skeleton,Mifupa,Skeleton,Skjelett
7,1,内蔵,9,Internal Organs,Cơ Quan Nội Tạng,内脏,Les Organes Internes,Innere Organe,आंतरिक अंग,Organ Dalam,Organi Interni,내장 기관,Organ Dalaman,Órgãos Internos,Внутренние органы,Órganos Internos,อวัยวะภายใน,Lamang Loob,اعضاء داخلية,Narządy Wewnętrzne,Unutarnji Organi,Interne Organen,Εσωτερικά όργανα,Belső Szervek,Inre Organ,Vnitřní Orgány,Organe Interne,Вътрешни органи,Indre Organer,İç Organlar,Sisäelimet,Notranji Organi,اعضای داخلی,অভ্যন্তরীণ অঙ্গ,Внутрішні органи,የውስጥ አካላት,សរីរាង្គខាងក្នុង,අභ්යන්තර අවයව,Izitho Zangaphakathi,Viungo Vya Ndani,ອະໄວຍະວະພາຍໃນ,Indre Organer
9,1,家族,3,Family,Gia Đình,家庭,Famille,Familie,परिवार,Keluarga,Famiglia,가족,Keluarga,Família,семья,Familia,ครอบครัว,Pamilya,عائلة,Rodzina,Obitelj,Familie,οικογένεια,Család,Familj,Rodina,Familie,семейство,Familie,Aile,Perhe,Družino,خانواده,পরিবার,сім'ї,ቤተሰብ,គ្រួសារ,පවුලේ,Umndeni,Familia,ຄອບຄົວ,Familie
10,1,人間関係,2,Relationships,Quan Hệ,人际关系,Des Relations,Beziehungen,रिश्तों,Hubungan,Relazioni,관계,Hubungan,Relacionamentos,отношения,Relaciones,สัมพันธ์,Mga Relasyon,العلاقات,Relacje,Odnosa,Relaties,σχέσεις,Kapcsolatok,Relationer,Vztahy,Relaţii,взаимоотношения,Relationer,Ilişkiler,Suhteita,Odnosov,روابط,সম্পর্ক,відносини,ግንኙነቶች,ទំនាក់ទំនង,සබඳතා,Ubudlelwano,Mahusiano,ການພົວພັນ,Forhold
11,1,感情,1,Emotions,Cảm Xúc,情绪,Émotions,Emotionen,भावनाएँ,Emosi,Emozioni,감정,Emosi,Emoções,эмоции,Emociones,อารมณ์,Emosyon,العواطف,Emocje,Emocije,Emoties,συναισθήματα,Érzelmek,Känslor,Emoce,Emoții,емоции,Følelser,Duygular,Tunteet,Čustva,احساسات,আবেগ,емоції,ስሜቶች,អារម្មណ៍,හැඟීම්,Imizwelo,Hisia,ອາ​ລົມ,Følelser
12,1,人生,4,Life Events,Cuộc Đời,人生,Événements De La Vie,Lebensereignisse,जीवन की घटनाएं,Peristiwa Kehidupan,Eventi Della Vita,생활 사건,Peristiwa Hidup,Eventos Da Vida,жизненные события,Eventos De La Vida,เหตุการณ์ในชีวิต,Mga Pangyayari Sa Buhay,أحداث الحياة,Wydarzenia Życiowe,Životni Događaji,Levensgebeurtenissen,γεγονότα ζωής,Életesemeny,Livshändelser,Životní Události,Evenimentele De Viață,житейски събития,Livsbegivenheder,Yaşam Olayları,Elämäntapahtumat,Življenjskih Dogodkov,رویدادهای زندگی,জীবনের ঘটনা,події життя,የሕይወት ክስተቶች,ព្រឹត្តិការណ៍ជីវិត,ජීවිතය සිද්ධීන්,Izenzakalo Zokuphila,Matukio Ya Maisha,ເຫດການຊີວິດ,Livshendelser
15,2,女性服,1,Clothing - Women,Quần Áo Nữ,女士服装,Vêtements - Femmes,Kleidung - Frauen,कपड़े - महिलाओं,Pakaian - Wanita,Abbigliamento - Donna,의류 - 여성,Pakaian - Wanita,Roupas - Mulheres,одежда женская,Ropa Para Mujer,เสื้อผ้า - ผู้หญิง,Damit - Kababaihan,الملابس - النساء,Odzież - Kobiety,Odjeća - Žene,Kleding - Vrouwen,ρούχα - γυναίκες,Ruházat - Nők,Kläder - Kvinnor,Oděvy - Ženy,Îmbrăcăminte - Femei,облекло - жени,Tøj - Kvinder,Giyim - Kadın,Vaatteet - Naiset,Oblačila - Ženske,لباس - زنان,পোশাক - নারী,одяг - жінки,ልብስ - ሴቶች,សម្លៀកបំពាក់ - ស្ត្រី,ඇඳුම් - කාන්තාවන්,Izingubo - Abesifazane,Nguo - Wanawake,ເຄື່ອງນຸ່ງຫົ່ມ - ແມ່ຍິງ,Klær - Kvinner
16,2,装身具,6,Accessories,Phụ Kiện,配饰,Accessoires,Zubehör,सामान,Aksesoris,Accessori,부속품,Aksesori,Acessórios,аксессуары,Accesorios,อุปกรณ์,Accessory,مستلزمات,Akcesoria,Pribor,Accessoires,αξεσουάρ,Kiegészítők,Tillbehör,Příslušenství,Accesorii,аксесоари,Tilbehør,Aksesuarlar,Lisätarvikkeet,Dodatki,تجهیزات جانبی,মালপত্র,аксесуари,መለዋወጫዎች,គ្រឿង,උපාංග,Izesekeli,Vifaa,ອຸປະກອນເສີມ,Tilbehør
